N1	N2	Na	Tsplit
2.54443	4.90199	1.20774	1.94038
1.96635	1.16455	2.97970	3.93552
1.74039	0.15447	0.17702	2.15121
1.71113	4.69033	2.43477	3.08783
1.98151	0.20562	2.69974	3.40256
3.62195	2.46216	1.24687	1.73901
3.60341	1.52059	1.49075	3.65555
3.97809	2.42340	3.38163	0.00413
0.31715	2.90257	2.53159	2.22422
1.62416	4.43134	4.17163	2.53534
1.46276	2.98517	4.91500	2.78002
4.84865	1.90355	3.18906	0.65596
3.80759	4.95451	4.22892	0.52506
0.49352	0.56885	0.71247	0.34438
0.64703	4.06932	1.96289	1.77496
3.23155	0.80165	0.70170	3.30578
4.16998	2.43651	1.67118	2.79565
4.62866	4.75984	4.87984	0.99307
4.41918	0.93940	3.14422	1.01326
2.04784	4.93524	3.60174	1.58068
4.60517	0.87573	4.20239	1.59380
0.26950	1.85261	1.96308	2.63071
3.49731	4.83043	1.70384	0.73657
0.46336	0.68632	4.35335	0.18211
2.22106	4.56992	1.93654	1.07775
2.30190	4.19853	2.98239	2.50532
3.44781	2.13164	2.58950	1.13442
1.11141	2.97703	3.29139	0.78466
0.12050	3.02012	1.74169	1.36965
1.79894	0.96867	2.36125	3.65495
4.81156	2.97160	1.41939	2.19777
0.77114	1.98594	2.13740	3.04519
2.87257	3.16105	4.48152	0.47432
0.20332	0.95759	3.20363	3.75865
3.07216	3.08428	1.40416	3.94938
3.14151	1.12363	4.26118	2.84610
4.61077	4.37726	2.91834	0.75506
4.39550	0.08508	1.47003	0.32044
0.92858	2.81014	3.94581	0.40791
2.10835	2.07598	3.54634	2.61882
3.74359	3.51152	2.24956	0.40044
4.61847	1.17221	1.45377	3.59152
0.99151	0.73000	4.29790	3.86467
1.01242	4.29769	3.47353	0.81043
2.25300	4.27675	0.99715	3.66565
1.54608	2.51112	3.62890	2.42818
2.10618	4.89258	3.34840	0.98348
0.71711	2.68865	4.67503	2.34594
4.40682	3.44634	4.81472	0.04240
4.61968	1.02215	0.63361	0.08955
2.56451	1.92286	0.32571	1.22429
3.49731	0.05607	3.70246	0.58270
1.45114	4.92029	4.74575	0.75301
3.77356	0.81517	2.07409	1.55224
3.63173	1.86887	1.47225	2.93916
4.66553	4.16026	1.38705	0.74394
1.28444	1.59905	2.87077	1.94657
3.70323	0.60388	4.53397	0.07763
1.91204	0.79542	4.97135	3.91159
2.98993	0.67825	2.51590	3.25539
0.28893	3.22660	2.58807	2.90143
3.61818	3.70361	3.75981	0.81548
2.00098	2.88330	0.73176	0.33206
4.13841	1.18184	2.35163	1.15430
2.13536	3.10650	4.93415	1.67928
2.70788	4.92954	0.87503	1.08208
4.06293	1.80720	1.86145	2.19389
0.94201	0.38296	0.94567	0.20391
1.56061	0.18217	2.56732	3.77222
0.48093	4.88997	0.17079	3.79019
1.89009	4.55269	4.23079	1.02357
2.35755	3.40685	2.52458	1.79810
0.95354	1.00673	4.17062	3.33598
4.65321	0.02282	2.36120	2.02678
2.07626	2.99233	4.18687	3.83731
0.30242	4.54537	4.44636	1.51242
4.80847	1.07059	1.83486	3.98579
1.26772	3.68650	1.76694	1.96434
1.82394	1.12920	4.58590	3.38390
0.08648	1.74815	2.69395	2.07626
1.45516	2.48831	3.29309	1.39017
4.12955	4.55676	2.74764	1.40835
2.37429	1.57583	2.52403	1.06392
4.19452	0.62175	3.68382	0.08556
4.87821	3.82553	1.36881	1.91277
4.39196	3.83494	2.01161	2.50838
4.99456	1.31206	0.26789	1.78718
2.05549	0.17037	0.90654	1.59428
2.27236	2.53640	1.71477	3.23423
0.19606	4.32928	0.69127	0.80519
3.01099	3.15139	2.09368	0.54621
0.80872	4.69301	3.19380	1.82524
4.09678	1.21315	3.06035	3.08260
1.19661	3.61266	4.11674	2.66635
2.46117	0.93517	3.93137	2.93312
1.71645	4.44060	4.43100	2.20093
2.34688	1.59533	1.83664	2.57127
4.65900	3.94119	1.58178	0.46259
4.02576	0.79403	3.42369	1.66065
1.98222	1.32790	3.40289	0.22924
0.11275	2.87129	2.71825	3.11257
4.50539	3.38854	1.42291	0.24786
3.73041	1.27102	3.87187	0.64816
3.45630	3.09215	1.42954	2.52946
3.47260	3.42112	1.77570	3.99870
4.91555	0.71289	0.69408	0.55156
2.55924	4.94746	1.77074	0.14574
0.52514	1.83359	3.87506	3.57559
1.51610	2.33615	1.04983	1.87337
3.90969	3.47636	0.39992	3.10145
2.27247	1.22413	2.55703	1.81626
0.31383	0.67778	2.07645	3.29039
1.68841	4.66052	0.30597	3.80701
4.12439	1.09724	4.01941	2.45277
1.98519	1.89272	3.75554	0.04706
1.12992	3.13356	4.48940	2.23365
1.93522	0.01725	0.52943	0.84016
2.69404	2.22223	4.08192	0.27118
1.49620	4.53660	0.42135	3.51954
3.28903	1.58014	3.81251	3.76978
0.83050	1.48297	2.70076	0.52156
0.33484	1.63904	4.36474	3.40257
0.16156	1.79694	4.40769	1.69046
1.37496	0.06886	2.99298	3.67667
3.33666	0.92894	0.06159	3.47328
2.51719	1.05270	3.95556	0.59282
2.94275	2.88962	3.46917	3.43778
4.12970	0.28528	0.92711	2.97522
2.25854	0.14906	4.19513	2.02041
4.70926	3.11707	3.20571	3.82713
2.30828	2.56027	0.92434	0.57741
4.95649	4.44529	0.25569	3.48093
4.19994	1.36800	1.67358	3.15906
1.24777	2.28420	1.24959	3.41171
3.05059	4.36200	1.86782	1.07445
0.73310	4.23849	3.52288	3.23688
0.65812	0.97306	3.39518	0.58708
0.63381	3.51602	3.01783	3.97035
4.36013	2.46397	1.87964	1.90748
0.14029	4.12828	0.24101	1.62205
1.07539	2.96810	2.82830	3.54158
1.55993	0.14620	2.60882	0.91291
2.60062	1.42856	1.32602	1.51863
2.36970	1.46276	4.84993	2.47750
0.17214	2.58480	4.86688	3.83929
2.36137	4.66139	0.50359	0.62313
3.32428	3.41098	1.95680	3.09649
4.96896	3.24838	4.89807	2.67378
3.61440	1.80805	4.89064	3.99697
2.26692	2.33713	4.79231	0.69360
0.07987	3.16026	4.89873	2.18135
2.71019	2.84703	4.29036	2.88662
4.26586	2.36377	3.68004	0.32392
2.74665	0.57574	3.37114	0.29507
4.67047	4.39131	4.38456	3.76090
2.45104	0.08185	4.10998	0.78682
0.36608	2.79977	3.62771	0.30020
3.38007	4.75407	4.66955	3.23285
1.59546	3.96515	1.19657	1.88807
4.39165	2.53490	0.63607	1.77692
1.53412	2.90793	3.73770	1.70233
0.69654	4.78750	0.18223	0.56759
0.81310	1.74128	3.69077	1.41711
2.42747	4.08464	0.30801	0.34939
1.20989	1.09566	4.11016	0.54967
2.36079	2.24180	3.88984	2.45302
3.20072	0.27596	1.71455	3.75490
2.21537	3.97381	1.59462	2.14826
0.26774	3.99404	3.60193	3.08047
0.34006	0.48289	3.10514	3.83225
3.54667	4.11999	2.56933	0.79110
3.78313	0.44552	4.76722	2.68657
4.57284	2.98927	3.80963	0.65097
4.58429	1.75588	0.82427	2.93074
0.46734	0.85236	3.60771	3.78168
0.58895	0.52706	0.83432	2.98660
2.43699	0.39687	4.23190	1.74867
3.04148	0.44776	2.23176	2.39037
2.17070	2.51960	1.03324	3.43158
3.90493	0.89255	1.77583	1.51161
1.52580	4.90167	4.04698	0.18435
1.23288	4.90454	3.13398	0.79676
4.79793	3.34492	4.45856	2.17301
1.39480	1.21553	3.68185	2.90163
2.47874	0.55472	4.67665	0.09219
1.51081	4.74937	1.46057	2.21424
0.60876	2.03331	0.41285	0.22052
0.55825	1.18423	1.57122	2.27878
4.82948	1.89750	3.09823	1.38547
3.42232	1.75920	0.45487	1.79458
3.00591	3.24908	0.13113	0.55300
1.06019	2.80147	1.12501	2.55510
0.44562	1.87511	3.49653	2.80287
0.09645	1.33866	1.87175	2.98843
0.17459	3.01295	3.15990	1.42533
3.47176	2.32005	3.19497	1.38416
3.88772	2.22571	3.35227	2.62546
3.70093	0.96674	2.41586	1.11705
4.76578	4.43608	2.73932	1.63562
2.20626	1.12013	2.78510	3.90377
0.18498	4.74468	2.42975	0.25195
0.44730	2.57922	3.41448	2.21679
3.54592	3.40196	2.38344	3.57835
1.19720	1.86616	1.69032	3.04437
4.52475	1.95184	2.23059	0.44679
1.39510	1.79377	2.14034	3.98776
0.34607	0.66536	2.54992	1.64720
0.37195	2.18760	1.50656	0.01269
1.67917	4.96727	1.13684	0.63673
0.12521	3.73678	3.16654	0.69147
4.41838	4.57033	2.88993	0.24181
1.88242	3.94851	4.24371	1.86845
2.86816	4.69438	4.80111	3.98485
0.05657	2.74415	4.94131	0.21106
1.21407	2.81111	4.13064	2.22013
1.34336	0.59597	3.41058	0.43218
3.29006	0.50679	1.84059	0.84089
3.41819	2.74591	0.64252	1.61369
1.57016	4.16188	1.12980	2.81142
1.17032	4.19897	4.63941	3.54511
0.15377	0.55687	3.47865	1.22907
0.70930	3.92732	2.53628	2.21848
1.95116	0.02696	3.55237	3.48896
3.41401	2.64679	4.55039	1.47937
0.43041	3.88437	0.00221	1.89972
1.83178	3.79769	2.09619	1.20524
1.98960	1.89276	4.21331	3.02615
4.44652	3.64589	4.06893	3.70331
1.84323	1.41653	1.89638	1.62419
1.53616	4.98161	2.34094	3.59616
0.87951	3.79383	4.77636	1.33490
4.58330	2.71699	2.72416	0.15252
4.11614	4.15223	4.05058	3.23694
3.17485	0.97371	3.66370	3.38745
3.96829	4.70035	3.20049	3.46718
2.37994	0.50371	3.31807	0.44643
0.74364	1.37074	4.64963	2.72005
4.14735	2.19101	3.29880	2.29518
0.45311	4.04274	1.07852	3.16963
1.45503	0.24269	2.90011	3.49243
1.29482	4.25084	1.14860	1.21034
4.13931	0.96518	0.95741	3.98500
0.34088	2.14529	2.68568	1.73280
2.45993	2.08783	4.55106	3.42879
1.24929	0.12530	3.63919	3.71203
3.87619	3.76181	0.37847	0.49079
3.05024	0.36217	3.43207	2.30689
4.00660	4.79551	0.25110	0.53991
2.28810	3.13280	0.40827	0.18298
2.98017	3.89005	0.05535	1.99523
3.46255	1.98334	1.54285	2.93067
3.32519	0.28261	3.10060	2.10626
0.34735	2.67993	4.10117	0.57163
4.51664	2.94679	4.74743	1.81327
4.72754	0.41577	3.25629	3.80029
4.20588	0.10968	2.79398	3.02136
4.61288	4.88845	4.18162	3.60890
3.56710	0.94894	1.24736	3.19742
4.20405	2.55769	4.38394	0.35259
0.79472	1.27046	3.08032	2.51540
3.35666	3.18476	1.61340	0.04970
2.53596	2.53187	1.39228	2.91961
0.24374	3.62430	4.88567	0.04591
4.01883	0.99747	1.82010	1.08363
3.22554	4.99562	2.35306	3.28864
1.70780	1.12256	4.91501	3.47982
2.87343	1.38334	0.78258	2.48517
1.49619	3.74736	4.04544	1.49340
2.49770	4.63840	0.17424	3.09091
2.81672	1.49890	2.46301	3.63754
2.20852	4.34296	2.88921	2.27379
1.60956	2.15062	4.64690	0.77790
3.43082	2.23271	0.39303	2.13989
1.53919	2.52742	4.66961	2.42686
1.87800	2.47288	4.55455	0.18653
4.71725	3.55639	0.62783	3.37472
0.98159	2.88663	2.38783	1.07675
2.38259	1.18440	1.86445	3.63583
4.61508	2.25729	3.76584	3.90216
2.58186	3.97605	1.15543	0.79321
2.06237	3.99434	1.65960	0.19947
3.88612	3.79778	1.49179	0.60145
4.34208	0.61932	3.41700	1.94937
1.27812	2.70595	3.25393	3.53722
1.18467	0.97428	2.09022	1.03825
4.48296	3.19094	4.99190	3.98090
2.19194	2.44212	3.16993	2.39320
0.21168	2.35496	1.04945	2.66082
1.21068	2.90505	0.58161	0.67221
1.44208	0.93967	2.92447	0.14433
1.85104	2.66926	3.81855	1.75287
3.08620	0.88346	2.65993	2.01267
2.06975	1.95112	3.59461	1.28174
3.81236	0.84155	1.73454	0.36185
3.85055	2.23946	4.19503	1.04722
2.56023	4.81479	3.91035	1.03928
1.30431	1.30839	2.51870	3.99608
2.49426	4.20760	3.43359	1.90367
2.44744	1.91106	2.02476	3.29550
3.86662	0.53424	4.21383	0.39163
0.20476	4.35422	2.25236	2.54727
3.19950	3.29918	2.83864	1.42861
